Date,Open,High,Low,Close,Adj Close,Volume
2017-10-10,31.68,31.68,31.68,31.68,30.767187,260.0
2017-10-11,31.68,31.68,31.68,31.68,30.767187,220.0
2017-10-12,31.68,31.68,31.68,31.68,30.767187,180.0
2017-10-13,31.68,31.68,31.68,31.68,30.767187,140.0
2017-10-16,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-17,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-18,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-19,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-20,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-23,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-24,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-25,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-26,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-27,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-30,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-10-31,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-01,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-02,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-03,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-06,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-07,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-08,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-09,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-10,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-13,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-14,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-15,33.247002,33.247002,33.247002,33.247002,32.28904,100.0
2017-11-16,30.75,30.75,30.75,30.75,29.863983,100.0
2017-11-17,30.75,30.75,30.75,30.75,29.863983,100.0
2017-11-20,30.75,30.75,30.75,30.75,29.863983,100.0
2017-11-21,30.75,30.75,30.75,30.75,29.863983,100.0
2017-11-22,30.75,30.75,30.75,30.75,29.863983,100.0
2017-11-24,30.75,30.75,30.75,30.75,29.863983,100.0
2017-11-27,30.75,30.75,30.75,30.75,29.863983,100.0
2017-11-28,30.75,30.75,30.75,30.75,29.863983,100.0
2017-11-29,30.75,30.75,30.75,30.75,29.863983,100.0
2017-11-30,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-01,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-04,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-05,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-06,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-07,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-08,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-11,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-12,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-13,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-14,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-15,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-18,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-19,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-20,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-21,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-22,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-26,30.75,30.75,30.75,30.75,29.863983,100.0
2017-12-27,29.5,29.5,29.5,29.5,28.65,100.0
2017-12-28,29.5,29.5,29.5,29.5,28.65,485.7142857142857
2017-12-29,29.5,29.5,29.5,29.5,28.65,871.4285714285714
2018-01-02,29.5,29.5,29.5,29.5,28.65,1257.142857142857
2018-01-03,29.5,29.5,29.5,29.5,28.65,1642.857142857143
2018-01-04,29.5,29.5,29.5,29.5,28.65,2028.5714285714287
2018-01-05,29.5,29.5,29.5,29.5,28.65,2414.285714285714
2018-01-08,28.35,28.35,28.35,28.35,27.533136,2800.0
2018-01-09,28.35,28.35,28.35,28.35,27.533136,2665.0
2018-01-10,28.35,28.35,28.35,28.35,27.533136,2530.0
2018-01-11,28.35,28.35,28.35,28.35,27.533136,2395.0
2018-01-12,28.35,28.35,28.35,28.35,27.533136,2260.0
2018-01-16,28.35,28.35,28.35,28.35,27.533136,2125.0
2018-01-17,28.35,28.35,28.35,28.35,27.533136,1990.0
2018-01-18,28.35,28.35,28.35,28.35,27.533136,1855.0
